transaction_id,mall_name,branch_name,transaction_date,tax_amount,transaction_amount,transaction_type,transaction_status,transaction_date_iso
JO-2504-4466-34760,Z Mall,Z Mall Al Bayader,2025-04-20 20:55:00,0.152,2.052,Sale,Failed,2025-04-20T20:55:00
JO-2504-8444-31356,C Mall,C Mall Amman,2025-04-20 20:37:00,0.152,2.052,Sale,Failed,2025-04-20T20:37:00
JO-2504-3064-71649,Z Mall,Z Mall Gardens,2025-04-20 20:09:00,0.152,2.052,Sale,Failed,2025-04-20T20:09:00
JO-2504-2507-64030,Y Mall,Y Mall Tla'a Al-Ali,2025-04-17 07:03:00,0.152,2.052,Sale,Failed,2025-04-17T07:03:00
JO-2504-1155-35357,C Mall,C Mall Irbid,2025-04-13 06:38:00,0.07,1.12,Sale,Failed,2025-04-13T06:38:00
JO-2504-9356-34850,Z Mall,Z Mall Al Jubeiha,2025-04-12 20:04:00,0.0035,0.0535,Sale,Failed,2025-04-12T20:04:00
JO-2504-5116-65058,Z Mall,Z Mall Al Bayader,2025-03-29 21:17:00,0.06,0.8,Sale,Failed,2025-03-29T21:17:00
JO-2504-8072-48225,Y Mall,Y Mall Shmeisani,2025-02-25 10:19:00,0.24,3.27,Sale,Failed,2025-02-25T10:19:00
JO-2504-7586-81795,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 19:23:00,0.38,5.11,Sale,Failed,2025-02-16T19:23:00
JO-2504-6847-49531,Z Mall,Z Mall Al Jubeiha,2025-02-16 19:15:00,1.5,20.3,Sale,Failed,2025-02-16T19:15:00
JO-2504-4082-29961,Y Mall,Y Mall Dabouq,2025-02-16 19:09:00,2.52,33.96,Sale,Failed,2025-02-16T19:09:00
JO-2504-2923-58291,C Mall,C Mall Irbid,2025-02-16 19:04:00,0.05,0.68,Sale,Failed,2025-02-16T19:04:00
JO-2504-4535-85980,C Mall,C Mall Amman,2025-02-16 17:47:00,0.41,5.56,Sale,Failed,2025-02-16T17:47:00
JO-2504-8511-73742,C Mall,C Mall Irbid,2025-02-16 17:25:00,1.32,17.86,Sale,Failed,2025-02-16T17:25:00
JO-2504-2185-69867,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 17:17:00,0.66,8.96,Sale,Failed,2025-02-16T17:17:00
JO-2504-5174-36943,Z Mall,Z Mall Gardens,2025-02-16 16:45:00,0.06,0.8,Sale,Failed,2025-02-16T16:45:00
JO-2504-7313-88510,Z Mall,Z Mall Al Jubeiha,2025-02-16 16:18:00,0.56,7.49,Sale,Failed,2025-02-16T16:18:00
JO-2504-8951-16361,Z Mall,Z Mall Al Bayader,2025-02-16 15:54:00,0.66,8.96,Sale,Failed,2025-02-16T15:54:00
JO-2504-9668-67355,Y Mall,Y Mall Dabouq,2025-02-16 15:29:00,0.06,0.8,Sale,Failed,2025-02-16T15:29:00
JO-2504-6740-70282,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 15:05:00,0.48,6.55,Sale,Failed,2025-02-16T15:05:00
JO-2504-9288-95055,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 15:04:00,0.36,4.77,Sale,Failed,2025-02-16T15:04:00
JO-2504-5110-62917,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 15:02:00,0.24,3.27,Sale,Failed,2025-02-16T15:02:00
JO-2504-1180-93019,Z Mall,Z Mall Gardens,2025-02-16 14:57:00,0.24,3.27,Sale,Failed,2025-02-16T14:57:00
JO-2504-2583-55476,Z Mall,Z Mall Gardens,2025-02-16 14:54:00,0.24,3.27,Sale,Failed,2025-02-16T14:54:00
JO-2504-3075-52878,Y Mall,Y Mall Shmeisani,2025-02-16 14:40:00,1.39,18.58,Sale,Failed,2025-02-16T14:40:00
JO-2504-9995-21342,Z Mall,Z Mall Al Jubeiha,2025-02-16 14:37:00,0.47,6.4,Sale,Failed,2025-02-16T14:37:00
JO-2504-7179-15984,C Mall,C Mall Aqaba,2025-02-16 14:29:00,0.25,3.4,Sale,Failed,2025-02-16T14:29:00
JO-2504-7023-65089,Y Mall,Y Mall Dabouq,2025-02-16 14:09:00,1.8,24.38,Sale,Failed,2025-02-16T14:09:00
JO-2504-9504-95095,Y Mall,Y Mall Shmeisani,2025-02-16 13:28:00,0.41,5.45,Sale,Failed,2025-02-16T13:28:00
JO-2504-8178-32606,Z Mall,Z Mall Gardens,2025-02-16 13:26:00,0.46,6.24,Sale,Failed,2025-02-16T13:26:00
JO-2504-8492-24504,Z Mall,Z Mall Gardens,2025-02-16 13:21:00,0.72,9.82,Sale,Failed,2025-02-16T13:21:00
JO-2504-9260-90035,C Mall,C Mall Amman,2025-02-16 13:11:00,0.24,3.27,Sale,Failed,2025-02-16T13:11:00
JO-2504-9374-96459,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 13:04:00,0.37,4.91,Sale,Failed,2025-02-16T13:04:00
JO-2504-4640-85130,Y Mall,Y Mall Shmeisani,2025-02-16 12:15:00,0.48,6.55,Sale,Failed,2025-02-16T12:15:00
JO-2504-6613-24121,Y Mall,Y Mall Dabouq,2025-02-16 12:15:00,0.24,3.27,Sale,Failed,2025-02-16T12:15:00
JO-2504-4996-72918,C Mall,C Mall Aqaba,2025-02-16 12:12:00,0.24,3.27,Sale,Failed,2025-02-16T12:12:00
JO-2504-4490-89991,Z Mall,Z Mall Al Bayader,2025-02-16 11:50:00,0.66,8.96,Sale,Failed,2025-02-16T11:50:00
JO-2504-2201-10335,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 11:43:00,0.28,3.8,Sale,Failed,2025-02-16T11:43:00
